joint,time,target_pos,actual_pos
joint1,0.0,0.0,1.726388290990144e-05
joint1,0.01,0.009423227980732918,0.0005132320220582187
joint1,0.02,0.018837155774235725,0.002055676421150565
joint1,0.03,0.028232494369149208,0.005104621406644583
joint1,0.04,0.037599969655275345,0.00996716134250164
joint1,0.05,0.04693033918738365,0.016789522022008896
joint1,0.06,0.05621439591050148,0.02556183561682701
joint1,0.07,0.06544297188520432,0.0361328087747097
joint1,0.08,0.07460696250200272,0.04823100566864014
joint1,0.09,0.08369733393192291,0.06149188056588173
joint1,0.1,0.09270510077476501,0.07548977434635162
joint1,0.11,0.10162137448787689,0.0897720456123352
joint1,0.12,0.11043736338615417,0.1038968563079834
joint1,0.13,0.11914436519145966,0.11746512353420258
joint1,0.14,0.12773378193378448,0.13014870882034302
joint1,0.15,0.13619714975357056,0.14171113073825836
joint1,0.16,0.14452610909938812,0.15201786160469055
joint1,0.17,0.15271241962909698,0.16103628277778625
joint1,0.18,0.16074803471565247,0.1688278764486313
joint1,0.19,0.16862501204013824,0.17553098499774933
joint1,0.2,0.17633557319641113,0.18134166300296783
joint1,0.21,0.18387211859226227,0.1864905208349228
joint1,0.22,0.19122719764709473,0.19122029840946198
joint1,0.23,0.1983935534954071,0.19576554000377655
joint1,0.24,0.2053641378879547,0.20033523440361023
joint1,0.25,0.2121320366859436,0.20509973168373108
joint1,0.26,0.21869058907032013,0.210182324051857
joint1,0.27,0.22503332793712616,0.21565474569797516
joint1,0.28,0.23115397989749908,0.2215368002653122
joint1,0.29,0.2370465099811554,0.2277999222278595
joint1,0.3,0.2427050918340683,0.23437342047691345
joint1,0.31,0.2481241673231125,0.24115301668643951
joint1,0.32,0.2532983720302582,0.24801115691661835
joint1,0.33,0.2582226097583771,0.254807710647583
joint1,0.34,0.2628920078277588,0.2614007890224457
joint1,0.35,0.2673019468784332,0.2676571309566498
joint1,0.36,0.2714481055736542,0.2734605669975281
joint1,0.37,0.2753264009952545,0.2787189483642578
joint1,0.38,0.27893295884132385,0.28336814045906067
joint1,0.39,0.28226423263549805,0.2873755693435669
joint1,0.4,0.28531694412231445,0.2907381057739258
joint1,0.41,0.2880881130695343,0.29348045587539673
joint1,0.42,0.29057493805885315,0.2956506311893463
joint1,0.43,0.29277503490448,0.29731398820877075
joint1,0.44,0.2946861684322357,0.298546701669693
joint1,0.45,0.2963064908981323,0.29942891001701355
joint1,0.46,0.29763442277908325,0.30003777146339417
joint1,0.47,0.29866859316825867,0.300442099571228
joint1,0.48,0.2994080185890198,0.300697386264801
joint1,0.49,0.2998519539833069,0.3008432686328888
joint1,0.5,0.30000001192092896,0.3009016513824463
joint1,0.51,0.2998519539833069,0.3008768856525421
joint1,0.52,0.2994080185890198,0.3007568120956421
joint1,0.53,0.29866859316825867,0.300515741109848
joint1,0.54,0.29763442277908325,0.30011752247810364
joint1,0.55,0.2963064908981323,0.29951927065849304
joint1,0.56,0.2946861684322357,0.29867541790008545
joint1,0.57,0.29277503490448,0.2975412607192993
joint1,0.58,0.29057493805885315,0.2960765063762665
joint1,0.59,0.2880881130695343,0.2942478060722351
joint1,0.6,0.28531694412231445,0.2920307517051697
joint1,0.61,0.28226423263549805,0.28941094875335693
joint1,0.62,0.27893295884132385,0.2863842844963074
joint1,0.63,0.2753264009952545,0.28295648097991943
joint1,0.64,0.2714481055736542,0.27914199233055115
joint1,0.65,0.2673019468784332,0.27496248483657837
joint1,0.66,0.2628920078277588,0.27044475078582764
joint1,0.67,0.2582226097583771,0.26561859250068665
joint1,0.68,0.2532983720302582,0.26051464676856995
joint1,0.69,0.2481241673231125,0.2551625669002533
joint1,0.7,0.2427050918340683,0.24958917498588562
joint1,0.71,0.2370465099811554,0.2438172847032547
joint1,0.72,0.23115397989749908,0.23786471784114838
joint1,0.73,0.22503332793712616,0.23174400627613068
joint1,0.74,0.21869058907032013,0.22546230256557465
joint1,0.75,0.2121320366859436,0.21902194619178772
joint1,0.76,0.2053641378879547,0.21242111921310425
joint1,0.77,0.1983935534954071,0.20565490424633026
joint1,0.78,0.19122719764709473,0.19871650636196136
joint1,0.79,0.18387211859226227,0.1915983259677887
joint1,0.8,0.17633557319641113,0.18429329991340637
joint1,0.81,0.16862501204013824,0.17679566144943237
joint1,0.82,0.16074803471565247,0.1691020280122757
joint1,0.83,0.15271241962909698,0.16121193766593933
joint1,0.84,0.14452610909938812,0.15312807261943817
joint1,0.85,0.13619714975357056,0.14485639333724976
joint1,0.86,0.12773378193378448,0.13640587031841278
joint1,0.87,0.11914436519145966,0.12778829038143158
joint1,0.88,0.11043736338615417,0.1190176010131836
joint1,0.89,0.10162137448787689,0.11010932922363281
joint1,0.9,0.09270510077476501,0.10107984393835068
joint1,0.91,0.08369733393192291,0.09194585680961609
joint1,0.92,0.07460696250200272,0.08272358030080795
joint1,0.93,0.06544297188520432,0.07342846691608429
joint1,0.94,0.05621439591050148,0.06407458335161209
joint1,0.95,0.04693033918738365,0.054674629122018814
joint1,0.96,0.037599969655275345,0.0452396385371685
joint1,0.97,0.028232494369149208,0.03577905893325806
joint1,0.98,0.018837155774235725,0.026300916448235512
joint1,0.99,0.009423227980732918,0.016812052577733994
joint1,1.0,-6.293943959626491e-16,0.007318438962101936
joint1,1.01,-0.009423227980732918,-0.002174507128074765
joint1,1.02,-0.018837155774235725,-0.011661547236144543
joint1,1.03,-0.028232494369149208,-0.021137315779924393
joint1,1.04,-0.037599969655275345,-0.030596015974879265
joint1,1.05,-0.04693033918738365,-0.04003122076392174
joint1,1.06,-0.05621439591050148,-0.04943570867180824
joint1,1.07,-0.06544297188520432,-0.05880140885710716
joint1,1.08,-0.07460696250200272,-0.06811938434839249
joint1,1.09,-0.08369733393192291,-0.07737990468740463
joint1,1.1,-0.09270510077476501,-0.08657260984182358
joint1,1.11,-0.10162137448787689,-0.09568667411804199
joint1,1.12,-0.11043736338615417,-0.10471094399690628
joint1,1.13,-0.11914436519145966,-0.11363421380519867
joint1,1.14,-0.12773378193378448,-0.1224454790353775
joint1,1.15,-0.13619714975357056,-0.13113397359848022
joint1,1.16,-0.14452610909938812,-0.1396893560886383
joint1,1.17,-0.15271241962909698,-0.14810192584991455
joint1,1.18,-0.16074803471565247,-0.15636268258094788
joint1,1.19,-0.16862501204013824,-0.1644631177186966
joint1,1.2,-0.17633557319641113,-0.1723954826593399
joint1,1.21,-0.18387211859226227,-0.18015258014202118
joint1,1.22,-0.19122719764709473,-0.187727689743042
joint1,1.23,-0.1983935534954071,-0.19511453807353973
joint1,1.24,-0.2053641378879547,-0.20230717957019806
joint1,1.25,-0.2121320366859436,-0.20929983258247375
joint1,1.26,-0.21869058907032013,-0.21608678996562958
joint1,1.27,-0.22503332793712616,-0.22266264259815216
joint1,1.28,-0.23115397989749908,-0.22902151942253113
joint1,1.29,-0.2370465099811554,-0.23515744507312775
joint1,1.3,-0.2427050918340683,-0.2410649061203003
joint1,1.31,-0.2481241673231125,-0.24673794209957123
joint1,1.32,-0.2532983720302582,-0.25217077136039734
joint1,1.33,-0.2582226097583771,-0.2573574185371399
joint1,1.34,-0.2628920078277588,-0.2622920870780945
joint1,1.35,-0.2673019468784332,-0.266969233751297
joint1,1.36,-0.2714481055736542,-0.27138352394104004
joint1,1.37,-0.2753264009952545,-0.2755298316478729
joint1,1.38,-0.27893295884132385,-0.2794032394886017
joint1,1.39,-0.28226423263549805,-0.28299960494041443
joint1,1.4,-0.28531694412231445,-0.28631487488746643
joint1,1.41,-0.2880881130695343,-0.2893456816673279
joint1,1.42,-0.29057493805885315,-0.29208889603614807
joint1,1.43,-0.29277503490448,-0.2945419251918793
joint1,1.44,-0.2946861684322357,-0.29670250415802
joint1,1.45,-0.2963064908981323,-0.2985690236091614
joint1,1.46,-0.29763442277908325,-0.30014002323150635
joint1,1.47,-0.29866859316825867,-0.30141422152519226
joint1,1.48,-0.2994080185890198,-0.302390992641449
joint1,1.49,-0.2998519539833069,-0.3030698001384735
joint1,1.5,-0.30000001192092896,-0.3034500777721405
joint1,1.51,-0.2998519539833069,-0.3035318851470947
joint1,1.52,-0.2994080185890198,-0.3033153712749481
joint1,1.53,-0.29866859316825867,-0.3028007447719574
joint1,1.54,-0.29763442277908325,-0.30198851227760315
joint1,1.55,-0.2963064908981323,-0.30087918043136597
joint1,1.56,-0.2946861684322357,-0.2994738817214966
joint1,1.57,-0.29277503490448,-0.2977738380432129
joint1,1.58,-0.29057493805885315,-0.295780211687088
joint1,1.59,-0.2880881130695343,-0.29349493980407715
joint1,1.6,-0.28531694412231445,-0.2909199297428131
joint1,1.61,-0.28226423263549805,-0.2880575656890869
joint1,1.62,-0.27893295884132385,-0.28491050004959106
joint1,1.63,-0.2753264009952545,-0.28148162364959717
joint1,1.64,-0.2714481055736542,-0.277774453163147
joint1,1.65,-0.2673019468784332,-0.2737925052642822
joint1,1.66,-0.2628920078277588,-0.26953980326652527
joint1,1.67,-0.2582226097583771,-0.2650206983089447
